Igala,English 
òkwúta,stone
ùwẹ,you
ọ́nẹkẹ̀lẹ,Man
gbà,give
ébíjè,devil
àwa,we
únyí,house
chẹ́,Fold
ónobule,smell
òñwu,he
òñwu,she
òñwu,it
éwó,goat
ọ́maye,sister
ọ́maye,brother
ónonojò,stragers
ónonojò,visitors
òmi,I
j’ójí,steal
Àtá wa,Our father
òkólóbíáà,young man
ébi,Hunger
èjìmá,twins
èkìlì-ẹrẹ̀,Ankle
ènè,question
ílojí,hair
Agba,Hello
èmí,here
ọ̀mọ́,There
fàáfáī,Just now
ẹ́rẹrẹ̀,immediately
àbaba,Initially
du,take
hieele ,all
ájọfẹ,chief
ẹ́ñwu,Something
ẹ̀bìẹ̀,blood
áji,stream
ímọ́,nose
ìtì,cheek
úlo,pimple
óyó,fat
ọ́gọ́́lọ̄,ditch
bá,to boast
fà,crawl
gbà,recieve
gwẹ̀,wash
hì,cook
jó,burn
kà,say
Kpẹ̣́,divide
kwà,shout
lí,see
mí,rest
nẹ,own
nyí,create
ñmọ,drink
ñwá,peel
rá,run
tà,sell
ùlù ,smell
à,we
òmi ,i
mà,they
ẹ̀,you
abalẹ,be
 ta,to
 óñwù,of
 mányu, and
,a
 efù ,in
 elẹ,that
enẹ,have
ẹñwù ,it
 ñwù ,for
ìche,not
 ójìñwù ,on
kpai,with
Ọnẹkẹlẹ,he
 Abalẹ,as
 ùwẹ ,you
 chè ,do
 ugbo, at
 eyì,this
ùyọ̀ ,joy
ẹ̀gbà ,time
éfufu,white
égbé ,grass
ejodudu,firtr
ane̩,and
ile̩.,world
júgwúú,disarray
òfòfo ,empty
ẹ̀chúbi ,darkness
ọ̀lùlù,climax
kà dufù,Divulge
ẹ̀dẹ̀bọ́ ,Happiness
todú ,because
ámáà ,but
bàkú ,must be
cháí,unless
ìchèkpúlù,School
íchẹ́kà ,even if
ìchẹ̀kíbọ̀ ,remainder
dágba,may be
déké,to go
íchẹñwu ,if
ídábálẹ̄,if so
kpai,and
múdáà,however
todú ,because of
àákpà ,corn
á,will
ìbá ,beside
íbe ,mind
ìgbẹ̀lẹ́ ,young girl
íhia,sneeze
íkáakàla,crab
íkáakàla,perharps
íkétè,sore
íkọ́líkọ́ ,horror
ìkpà ,bag
íkpágolo ,container
íkpékēè ,hiccup
íkwẹ́kwẹ́ẹ̀ ,derision
ẹ́nẹ ikwẹ́kwẹ́ẹ̀,clown
ìlá ,mistake
ílo,bell
ìlówáà,Foreigner
ímọtọ,child
ímú ,Mosquito
ínáà ,insult
ìnajọ́ ,dawn
ínéè,tax
ípílò ,pillow
ítébùlù,table
ìtékwú ,ocean
ítélénì ,tray
ítíchà ,teacher
íwáyáà,wire
íyáà,joke
íye ,mother
já,grate
já,fight
jàbe,vote
jádá ,cut
jágajàga ,untidy
jàjà ,very 
jálíí,obviously
jámù,collide
já-tō,assemble
jẹ́ ,agree
jijì,far away
jó,burn
kàdó ,touch
kàtàà ,profusely
kálí ,which
katé ,only
ké,proud
kéee ,why
kékélé,small
kẹ̀chẹ̀ ,push
kẹ́dọ̀nó ,trust
kẹrẹ̀bọ́ ,meet
kò ,heal
kócho,please
kojí,replace
kòjòkòjò ,anxiously
kórú ,mock
kọ,write
kọ́chẹ̄,learn
kọ̀fídá ,place
kọ́kwúú ,stiff
kù ,who
kpa,kill
kpá,ripe
kpàí ,and
kpajá ,grind
kpákányú,grip
kpákóló,jump
kpàkpà ,exactlly
kpákpálá ,quickly
kpakpalakpaa,hard
kpamá,tidy
kpalu ,quench
kpanà ,tear
kpéjì ,divide
kpélí,gather
kpẹ́ ,share
kpẹ́chíí,smallish
kpẹ́dọ̀ ,cruel
kpẹ́lẹ́kẹ́,always
kpẹ́rú ,divide
kpìyá ,smear
kpó ,smell
kpódudu ,smoky
kpojí ,conclude
kpolu,sedate
kpòò,loudly
ej'ọfẹ ,Rule 
Ejónù,reign
kpọ̀,cheap
kpọhiọọ ,heavy
kpọ̀ọ̀ ,much
kpọ́tii,thick
kpùkẹ̀ẹ̀ ,short
kpúná ,hot
kpuná,warm
kwà ,cry
kwàá,loudly
kwóò,deduct
kwú,die
kwu , Slaughter
kwúlọ̄ ,stammer
là,buy
lá,astray
làáléè,pass
láñwúù,grumble
lamọ́,paste
lè ,to go
lè gwúdu,overtake
le,somehow
lèkwú ,will die
lèwá,come
lẹ ,is
lí ,see
li,clean
lì,punch
lìá ,come
Íkòó ,time
lìààà,pull
lìchà-lìchà ,muscular
liẹ ,crush
líẹ́na ,envious
lìkìlìkì,fully
lòtòò,big
lotoo,enormous
lọ́ ,chew
Ómi álọ̀,raining
Ómi ,water
lu ,quench
lù ,smell
má ,them
má ,never
ma,their
májáà,hide
mẹmù ,to end
mí,rest
mi ,my
mì ,swallow
miẹ ,suck
mòmòlò,round
mọ,drink
mọ̀là ,kind
mú ,stop
múlọ̀,gather
nà ,myself
na, rant
náa ,continue
nábáà,ban
nàdàlà ,unfold
najú ,hurry
nawo ,increase
néjú,believe
neke,can
neke,able
nétí,listen
nẹ́ ,carry
nẹ̀ ,break
nẹpi ,nose
nítēlē ,to ask after
nó,expel
nójí ,because of
nù,play
nyọ̀ ,beautiful
nyọ́gbá ,progress
nyọ́lọ́ ,deform
nyú ,into
nyú ,in
nyú ,inside
ñá,catch
ñàà,firmly
ñòóñō,fiercely
ñọ́,gather
ñọ́rú,settle
ñmé ,particle
ñmí ,rest
ñmíñmi ,breathe
ñmọ,drink
ñwá,fall
ñwà,measure
ñwọ́,itch
ñwọ̀ ,slippery
òbé ,business
òbébè ,speed
òbìjimu,ostrich
óbó ,soup
òbògo,stupid
òbóchí ẹnẹfu,doctor
òbúkọ ,he-goat
òchìkapa ,rice
óchú ,witch
óchú ,wizard
òchúchù ,dizzy 
óchúù ,moon
ọ́kọ́ ochù,salary
òdènè ,vulture
òdòdó ,flower
òdùdu,morning
òdùfa,green
òféfē,soon after
òfeje-í ,recenty
òfòfo ,empty
òfòfo ,zero
òfù ,destruction
òfù ,loss
ògbégbéílẹ̀ ,eternally
ògbèlè ,lizard
ògbémè ,remarkable
ógbó,old age
ògémi,neatness
ògénéba ,elegance
ògijo,elder
ògijo,senior
ògwòni ,expert
ógwù ,medicine
ógwu ,warm
ógwú,inheritance
ògwùchẹ́kwọ̀ ,illitrate
ògwùgwù ,owl
òhì ,reply
ójétà ,trash
ójíká ,shoulder
òjìbó,statue
ójíle ,good luck
òjima,respect
òjima,honour
ójínójíì,grave
ójóò ,gift
ójúwó,hill
òjúgò,glass
òjùjù,secret
óko ,bush
òkólóbíáà,Boy
òkólo,ram
ókóò ,parrot
òkpò ,fear
ch'òkpò ,afraid
ókwu,friend 
ókwunọ ,cow
òkwúta ,stone
ókwúù ,trap
òlílí,flute
òlíye ,needle
ólu ,sleep
ólù ,sun
òlùbọ́,shade
òlùgbẹ,thirst
òlùka,dialogue
òményī,uncle
òmì ,water
ómu,salt
ónẹ̀ ,person
ónobùlẹ,woman
ónú ,king
ónúchẹ́ ,message
òñwu ,him
òñwu ,her
òtítálá,finally
òtítálá,last
ọ̀bàlà ,catch
ọ̀bàta,suffer
ọ̀bẹ ,knife
ọ́dáà ,law
kọdá,cut
ọ̀daala,law
ọ̀dọ̀,wall
ọ́dọ́da ,out
ọ́ga ,tall
ọ̀gà ,winner
ọ̀gẹ̀cha,truth
ọ́kọ,husband
Ọ́na ,dream
ọ̀ọ́nà ,path
ọ̀ọ́nà ,road
ọ̀tákáda ,book
m’ọ̀tákáda,brilliant
ọ́kọ́-ọ́tākāda,currency
iye,mother
ọ́wọ́ọ̀,broom
ọ́yáà ,wife
ọ́yá ukwú ọkọ,widow
ọ́yonū,queen
píọ́ọ́,surely
pótóó,wide
ráīlọ ,hate
ràìlò,fear
ré,shut
ré,close
